code,description,category
0100,Suspect Impersonate,Suspect Impersonation
0101,Aid victim,Suspect Impersonation
0102,Blind,Suspect Impersonation
0103,Physically disabled,Suspect Impersonation
0104,Customer,Suspect Impersonation
0105,Delivery,Suspect Impersonation
0106,Doctor,Suspect Impersonation
0107,God,Suspect Impersonation
0108,Infirm,Suspect Impersonation
0109,Inspector,Suspect Impersonation
0110,Involved in traffic/accident,Suspect Impersonation
0112,Police,Suspect Impersonation
0113,Renting,Suspect Impersonation
0114,Repair Person,Suspect Impersonation
0115,Returning stolen property,Suspect Impersonation
0116,Satan,Suspect Impersonation
0117,Salesman,Suspect Impersonation
0118,Seeking someone,Suspect Impersonation
0119,Sent by owner,Suspect Impersonation
0120,Social Security/Medicare,Suspect Impersonation
0121,DWP/Gas Company/Utility worker,Suspect Impersonation
0122,Contractor,Suspect Impersonation
0123,Gardener/Tree Trimmer,Suspect Impersonation
0200,Suspect wore disguise,Suspect Disguise
0201,Bag,Suspect Disguise
0202,Cap/hat,Suspect Disguise
0203,Cloth (with eyeholes),Suspect Disguise
0204,Clothes of opposite sex,Suspect Disguise
0205,Earring,Suspect Disguise
0206,Gloves,Suspect Disguise
0207,Handkerchief,Suspect Disguise
0208,Halloween mask,Suspect Disguise
0209,Mask,Suspect Disguise
0210,Make up (males only),Suspect Disguise
0211,Shoes,Suspect Disguise
0212,Nude/partly nude,Suspect Disguise
0213,Ski mask,Suspect Disguise
0214,Stocking,Suspect Disguise
0215,Unusual clothes,Suspect Disguise
0216,Suspect wore hood/hoodie,Suspect Disguise
0217,Uniform,Suspect Disguise
0218,Wig,Suspect Disguise
0219,Mustache-Fake,Suspect Disguise
0220,Suspect wore motorcycle helmet,Suspect Disguise
0301,Escaped on (used) transit train,Suspect Actions
0302,Aimed gun,Suspect Actions
0303,Ambushed,Suspect Actions
0304,Ate/drank on premises,Suspect Actions
0305,Attacks from rear,Suspect Actions
0306,Crime on upper floor,Suspect Actions
0307,Defecated/urinated,Suspect Actions
0308,Demands jewelry,Suspect Actions
0309,Drive-by shooting,Suspect Actions
0310,Got victim to withdraw savings,Suspect Actions
0311,Graffiti,Suspect Actions
0312,Gun in waistband,Suspect Actions
0313,Hid in building,Suspect Actions
0314,Hot Prowl,Suspect Actions
0315,Jumped counter/goes behind counter,Suspect Actions
0316,Makes victim give money,Suspect Actions
0317,Pillowcase/suitcase,Suspect Actions
0318,Prepared exit,Suspect Actions
0319,Profanity Used,Suspect Actions
0320,Quiet polite,Suspect Actions
0321,Ransacked,Suspect Actions
0322,Smashed display case,Suspect Actions
0323,Smoked on premises,Suspect Actions
0324,Takes money from register,Suspect Actions
0325,Took merchandise,Suspect Actions
0326,Used driver,Suspect Actions
0327,Used lookout,Suspect Actions
0328,Used toilet,Suspect Actions
0329,Vandalized,Suspect Actions
0330,Victims vehicle taken,Suspect Actions
0331,Mailbox Bombing,Suspect Actions
0332,Mailbox Vandalism,Suspect Actions
0333,Used hand held radios,Suspect Actions
0334,Brandishes weapon,Suspect Actions
0335,Cases location,Suspect Actions
0336,Chain snatch,Suspect Actions
0337,Demands money,Suspect Actions
0338,Disables Telephone,Suspect Actions
0339,Disables video camera,Suspect Actions
0340,Suspect follows victim/follows victim home,Suspect Actions
0341,Makes vict lie down,Suspect Actions
0342,Multi-susps overwhelm,Suspect Actions
0343,Orders vict to rear room,Suspect Actions
0344,Removes vict property,Suspect Actions
0345,Riding bike,Suspect Actions
0346,Snatch property and runs,Suspect Actions
0347,Stalks vict,Suspect Actions
0348,Takeover other,Suspect Actions
0349,Takes mail,Suspect Actions
0350,Concealed victim's body,Suspect Actions
0351,Disabled Security,Suspect Actions
0352,Took Victim's clothing or jewelry,Suspect Actions
0353,Weapon Concealed,Suspect Actions
0354,Suspect takes car keys,Suspect Actions
0355,Demanded property other than money,Suspect Actions
0356,Suspect spits on victim,Suspect Actions
0357,Cuts or breaks purse strap,Suspect Actions
0358,Forces Entry,Suspect Actions
0359,Made unusual statement,Suspect Actions
0360,Suspect is Other Family Member,Suspect Actions
0361,Suspect is neighbor,Suspect Actions
0362,Suspect attempts to carry victim away,Suspect Actions
0363,Home invasion,Suspect Actions
0364,Suspect is babysitter,Suspect Actions
0365,Takeover robbery,Suspect Actions
0366,Ordered vict to open safe,Suspect Actions
0367,Was Transit Patrol,Suspect Actions
0368,Suspect speaks foreign language,Suspect Actions
0369,Suspect speaks spanish,Suspect Actions
0370,Frisks victim/pats down victim/searches victim,Suspect Actions
0371,Gang affiliation questions asked/made gang statement,Suspect Actions
0372,Photographed victim/took pictures of victim,Suspect Actions
0373,Physically disabled/in wheelchair,Suspect Actions
0374,Gang signs/threw gang signs using hands,Suspect Actions
0375,Removes cash register,Suspect Actions
0376,Makes victim kneel,Suspect Actions
0377,Takes vict's identification/driver license,Suspect Actions
0378,Brings own bag,Suspect Actions
0379,Turns off lights/electricity,Suspect Actions
0380,Distracts Victim,Suspect Actions
0381,Suspect apologizes,Suspect Actions
0382,Removed money/property from safe,Suspect Actions
0383,Suspect entered during open house/party/estate/yard sale,Suspect Actions
0384,Suspect removed drugs from location,Suspect Actions
0385,Suspect removed parts from vehicle,Suspect Actions
0386,Suspect removed property from trunk of vehicle,Suspect Actions
0387,Weapon (other than gun) in waistband,Suspect Actions
0388,Suspect points laser at plane/helicopter,Suspect Actions
0389,Knock-knock,Suspect Actions
0390,Purse snatch,Suspect Actions
0391,Used demand note,Suspect Actions
0392,False Emergency Reporting,Suspect Actions
0393,911 Abuse,Suspect Actions
0394,Susp takes UPS/Fedex/USPS packages,Suspect Actions
0395,Murder/Suicide,Suspect Actions
0396,Used paper plates to disguise license number,Suspect Actions
0397,Cut lock (to bicycle/gate/etc.),Suspect Actions
0398,Roof access (remove A/C/equip/etc.),Suspect Actions
0399,Vehicle to Vehicle shooting,Suspect Actions
0400,Force used,Force Used
0401,Bit,Force Used
0402,Blindfolded,Force Used
0403,Bomb Threat - Bomb found,Force Used
0404,Bomb Threat - no bomb,Force Used
0405,Bound,Force Used
0406,Brutal Assault,Force Used
0407,Burned Victim,Force Used
0408,Choked/uses choke hold/Strangulation,Force Used
