category,lat,lon,vict_age,hour,month,day_of_week,area_name,vict_sex,vict_descent,premis_group,cooks_distance,leverage
Violent,34.0337,-118.2533,50.0,23,4,2,Newton,Unknown,Hispanic/Latin/Mexican,Other,1.1273137577654884e-05,0.00012142856230185242
Violent,34.117,-118.2717,40.0,23,8,5,Northeast,Male,Hispanic/Latin/Mexican,"VEHICLE, PASSENGER/TRUCK",1.0814595512959784e-05,6.281799633263404e-05
Property,33.9942,-118.274,26.0,12,2,2,Newton,Female,Samoan,Other,4.6440672891359734e-05,0.01975620060907934
Violent,34.0569,-118.2842,52.0,20,9,6,Olympic,Female,Korean,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",3.691086518118087e-05,0.0003215894400222358
Sexual Assault,34.2121,-118.3856,14.0,19,11,4,Foothill,Female,Hispanic/Latin/Mexican,PARK/PLAYGROUND,6.0306869467461145e-06,0.0002382743158026687
Violent,34.2589,-118.5006,23.0,2,2,5,Devonshire,Female,Filipino,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.00013149673244176326,0.00028038972280388795
Sexual Assault,34.1822,-118.4836,16.0,12,8,5,West Valley,Female,Hispanic/Latin/Mexican,HOTEL,5.09169307637477e-06,0.00028044098754849444
Violent,34.0509,-118.2979,35.0,12,1,2,Olympic,Female,Black,"VEHICLE, PASSENGER/TRUCK",1.0558139522658656e-05,5.700038655149667e-05
Property,34.0998,-118.3288,36.0,0,8,5,Hollywood,Male,Black,HOTEL,5.2873025089278725e-06,0.00026650524100696693
Sexual Assault,34.1161,-118.271,8.0,20,6,0,Northeast,Female,Hispanic/Latin/Mexican,PARK/PLAYGROUND,4.848257025443887e-06,0.00023795148148981153
Violent,34.2318,-118.5711,30.0,11,12,2,Devonshire,Male,Other Asian,OTHER BUSINESS,4.89927418954443e-06,0.00013500250860588392
Property,33.9527,-118.3058,22.0,15,1,0,77th Street,Female,Pacific Islander,SINGLE FAMILY DWELLING,4.826089380009656e-06,0.0050442718111141805
Violent,34.1939,-118.4236,60.0,12,12,2,Van Nuys,Female,Other,"VEHICLE, PASSENGER/TRUCK",1.3496761996547831e-05,1.9245081012419615e-05
Violent,34.1588,-118.3709,62.0,8,2,5,N Hollywood,Male,White,ALLEY,6.13540332033728e-06,0.00021676644442147544
Violent,34.0039,-118.2392,53.0,21,5,3,Newton,Female,Hispanic/Latin/Mexican,YARD (RESIDENTIAL/BUSINESS),5.375799025840181e-06,0.0002740068357007961
Sexual Assault,34.098,-118.3675,31.0,19,1,3,Hollywood,Male,Black,HOTEL,6.398079605125444e-06,0.00026009380631487054
Sexual Assault,33.9986,-118.2652,11.0,18,6,0,Newton,Female,Black,PARK/PLAYGROUND,5.751993082023541e-06,0.00022637016290546054
Violent,34.2489,-118.4349,7.0,12,1,2,Mission,Male,Hispanic/Latin/Mexican,"VEHICLE, PASSENGER/TRUCK",1.1073636691197857e-05,5.2249476415671915e-05
Property,33.9652,-118.2984,30.0,11,10,6,77th Street,Female,Pacific Islander,SINGLE FAMILY DWELLING,6.581790990027682e-06,0.005822952319942487
Property,34.0496,-118.2677,38.0,12,7,2,Rampart,Female,Black,HOTEL,5.642270255970711e-06,0.00026602657512066153
Property,34.0282,-118.372,54.0,8,6,0,Southwest,Male,Other,GAS STATION,4.378231228459627e-06,0.0003121966474814717
