param_classifier__var_smoothing,mean_test_score,std_test_score,rank_test_score
0.01,0.4158108658697288,0.0003006820711473797,1
0.001,0.37142157138188564,0.001511328187063758,2
0.1,0.35219520400909077,0.0005441300898613062,3
0.0001,0.331619577632659,0.0021348010097101897,4
1e-05,0.23541265508594067,0.008615504455784797,5
1e-06,0.17943865427890363,0.007688153425812029,6
1e-07,0.14022645234303094,0.012371180226823899,7
1e-08,0.1274857083319968,0.004149275951326949,8
1e-09,0.11975199825779277,0.005241534435162445,9
1e-10,0.1141828973604414,0.0046757767953915655,10
1e-11,0.10954379043798339,0.005080367618279717,11
