feature,mean_abs_shap_overall,Other,Property,Vehicle,Violent
vict_age,0.60389566,0.54352367,0.18829407,0.9672563,0.7165086
vict_descent_Hawaiian,0.4329357,0.67878807,0.18802914,0.22924298,0.6356825
vict_descent_Laotian,0.37935343,0.0,0.4266351,0.40171155,0.6890671
vict_descent_Asian Indian,0.35600555,0.4116442,0.028111594,0.17012672,0.8141396
vict_descent_Chinese,0.34099603,0.17095816,0.07399358,0.124383084,0.99464935
vict_descent_Pacific Islander,0.32554495,0.51260746,0.04967528,0.18172209,0.55817497
vict_descent_Cambodian,0.31429544,0.11071034,0.120267585,0.37848812,0.6477157
vict_descent_Vietnamese,0.29909343,0.43774801,0.03052958,0.18113126,0.5469649
premis_group_OTHER PREMISE,0.28880063,0.8018693,0.17350248,0.13137686,0.04845392
area_name_Southwest,0.2805887,0.23824768,0.21311794,0.20308563,0.46790352
vict_descent_Japanese,0.27743664,0.20004705,0.061575554,0.25224742,0.5958766
vict_descent_Filipino,0.25418556,0.20259498,0.024231255,0.31753385,0.47238213
premis_group_DEPARTMENT STORE,0.23787457,0.2577906,0.1433217,0.4158139,0.13457206
lat,0.23489091,0.19018927,0.123481005,0.42619675,0.19969657
vict_descent_Korean,0.2100441,0.3837399,0.031705294,0.25608093,0.16865034
area_name_Topanga,0.20711365,0.09807197,0.50274634,0.035980858,0.19165537
area_name_Hollenbeck,0.20663434,0.21695717,0.30957654,0.035341203,0.26466244
area_name_Central,0.20343037,0.2648197,0.042647902,0.46868005,0.037573833
area_name_Hollywood,0.20124233,0.16801983,0.21466239,0.23954894,0.18273817
area_name_Northeast,0.1913219,0.20942713,0.07434719,0.40085974,0.080653496
lon,0.18997437,0.16587345,0.19696955,0.22685789,0.17019662
premis_group_SINGLE FAMILY DWELLING,0.18751016,0.4666083,0.10335604,0.13052328,0.04955302
premis_group_GAS STATION,0.18651974,0.14329867,0.03791757,0.15917893,0.40568382
area_name_N Hollywood,0.18615298,0.2958285,0.050911445,0.10533947,0.2925325
area_name_77th Street,0.18462044,0.32397258,0.19307922,0.10812106,0.11330893
premis_group_OTHER RESIDENCE,0.18397392,0.5218275,0.059808563,0.074380696,0.079878904
area_name_Olympic,0.18024327,0.096513495,0.13225639,0.10207868,0.3901245
premis_group_SIDEWALK,0.17931119,0.1337013,0.10856907,0.05580119,0.41917318
premis_group_GARAGE/CARPORT,0.1746018,0.1205393,0.090061806,0.25398117,0.23382494
premis_group_PARKING LOT,0.17340711,0.22729848,0.22929984,0.19011128,0.04691878
hour,0.16843493,0.27018663,0.10809314,0.14645651,0.14900346
vict_descent_Samoan,0.16751929,0.0,0.089454465,0.34035784,0.24026485
vict_sex_Unknown,0.16558622,0.07508187,0.13275708,0.27608448,0.17842142
area_name_Van Nuys,0.1624274,0.18392774,0.104793034,0.13432232,0.22666648
premis_group_PARKING UNDERGROUND/BUILDING,0.15952055,0.14477198,0.03994175,0.34388363,0.109484866
area_name_Mission,0.15733716,0.32510376,0.027914502,0.064869806,0.21146056
premis_group_STREET,0.15334246,0.107237026,0.29282615,0.10009101,0.113215655
vict_sex_Female,0.14201401,0.40888226,0.050419513,0.06473027,0.04402398
premis_group_MARKET,0.14043848,0.21127222,0.05593815,0.24173445,0.05280913
area_name_Newton,0.13898382,0.36177048,0.08174405,0.06890284,0.043517873
premis_group_HOTEL,0.13817097,0.12056387,0.09331891,0.28362036,0.05518076
vict_descent_Hispanic/Latin/Mexican,0.13695309,0.30031195,0.07491799,0.038757753,0.13382468
area_name_Pacific,0.13689798,0.13925149,0.046432808,0.29624715,0.06566046
premis_group_ALLEY,0.1323924,0.06721574,0.31978992,0.026856802,0.11570718
area_name_Southeast,0.12697828,0.27453405,0.06574531,0.041245177,0.12638864
vict_descent_Black,0.11478366,0.122003205,0.06956502,0.047560558,0.22000587
area_name_West Valley,0.11333774,0.08000463,0.2374895,0.0650102,0.07084661
area_name_Rampart,0.112020835,0.13464476,0.07718704,0.05892656,0.17732497
area_name_Harbor,0.10817753,0.29749835,0.028177988,0.08110072,0.025933076
area_name_West LA,0.106189966,0.22551182,0.045016516,0.06508431,0.0891472
area_name_Wilshire,0.104849175,0.19022007,0.08098345,0.07778579,0.070407405
area_name_Devonshire,0.103416756,0.031455003,0.14957564,0.15722588,0.07541051
month,0.09522716,0.11440561,0.06962732,0.07645385,0.12042185
premis_group_RESTAURANT/FAST FOOD,0.094751574,0.05998782,0.05757207,0.16366723,0.09777919
premis_group_DRIVEWAY,0.0932943,0.04008743,0.069407545,0.17826767,0.08541455
vict_descent_Other,0.09113634,0.066248536,0.071742274,0.11109155,0.115462996
